local_time LA (airport),Ff,N,VV,Td,RRR
31.12.2018 22:00,2,20-0%.,16,-12.2,
31.12.2018 16:00,4,50%.,16,6.7,
31.12.2018 10:00,2,70 -80%.,16,7.8,
31.12.2018 04:00,2,50%.,16,6.1,
30.12.2018 22:00,3,20-0%.,16,8.3,
30.12.2018 16:00,4,50%.,16,6.7,
30.12.2018 10:00,3,20-0%.,16,-1.7,
30.12.2018 04:00,2,20-0%.,16,-2.2,
29.12.2018 22:00,2,Cloudless,16,0,
29.12.2018 16:00,4,20-0%.,16,-1.1,
29.12.2018 10:00,2,Cloudless,16,-7.8,
29.12.2018 04:00,0,Cloudless,16,-8.3,
28.12.2018 22:00,0,Cloudless,16,-9.4,
28.12.2018 16:00,3,Cloudless,16,-5.6,
28.12.2018 10:00,4,20-0%.,16,-11.1,
28.12.2018 04:00,3,Cloudless,16,-8.9,
27.12.2018 22:00,7,20-0%.,16,-3.9,
27.12.2018 16:00,8,20-0%.,16,-3.9,
27.12.2018 10:00,4,50%.,16,8.3,
27.12.2018 04:00,2,50%.,16,5,
26.12.2018 22:00,2,Cloudless,16,8.9,
26.12.2018 16:00,5,20-0%.,16,6.1,
26.12.2018 10:00,3,70 -80%.,16,8.3,
26.12.2018 04:00,3,20-0%.,16,2.8,
25.12.2018 22:00,6,Cloudless,16,1.1,
25.12.2018 16:00,7,20-0%.,16,1.7,
25.12.2018 10:00,6,50%.,16,8.3,
25.12.2018 04:00,11,50%.,16,10,
24.12.2018 22:00,5,20-0%.,16,13.3,Signs of precipitation
24.12.2018 16:00,2,50%.,12,12.8,
24.12.2018 10:00,2,100%.,1.6,11.7,
24.12.2018 04:00,2,100%.,2.4,11.7,
23.12.2018 22:00,4,70 -80%.,12,13.3,
23.12.2018 16:00,5,70 -80%.,8,12.8,
23.12.2018 10:00,2,100%.,2.8,12.8,
23.12.2018 04:00,2,50%.,4.8,10,
22.12.2018 22:00,0,20-0%.,16,12.8,
22.12.2018 16:00,5,70 -80%.,8,12.8,
22.12.2018 10:00,2,70 -80%.,11,10.6,
22.12.2018 04:00,2,The sky is not visible due to fog and/or other meteorological phenomena.,0.4,12.8,
21.12.2018 22:00,2,20-0%.,16,13.9,
21.12.2018 16:00,4,50%.,16,13.3,
21.12.2018 10:00,3,70 -80%.,12,12.8,
21.12.2018 04:00,3,70 -80%.,16,11.1,
20.12.2018 22:00,3,70 -80%.,16,12.2,
20.12.2018 16:00,6,50%.,16,13.3,
20.12.2018 13:00,0,70 -80%.,16,8.3,
20.12.2018 10:00,0,70 -80%.,16,8.3,
20.12.2018 04:00,0,50%.,9,10.6,
19.12.2018 22:00,3,,6,13.9,
19.12.2018 16:00,4,20-0%.,12,12.8,
19.12.2018 10:00,2,50%.,16,7.8,
19.12.2018 04:00,3,50%.,16,10,
18.12.2018 22:00,4,50%.,16,12.2,
18.12.2018 16:00,5,50%.,16,12.8,
18.12.2018 10:00,0,70 -80%.,9,12.2,
18.12.2018 04:00,0,50%.,4.8,12.8,
17.12.2018 22:00,3,70 -80%.,16,13.9,Signs of precipitation
17.12.2018 16:00,4,70 -80%.,16,12.8,
17.12.2018 10:00,2,70 -80%.,14,11.7,
17.12.2018 04:00,3,70 -80%.,16,12.2,
16.12.2018 22:00,3,70 -80%.,16,12.8,
16.12.2018 16:00,5,50%.,16,11.7,
16.12.2018 10:00,3,20-0%.,16,9.4,
16.12.2018 04:00,2,Cloudless,16,9.4,
15.12.2018 22:00,3,Cloudless,16,11.1,
15.12.2018 16:00,6,20-0%.,16,12.8,
15.12.2018 10:00,2,20-0%.,16,0,
15.12.2018 04:00,2,Cloudless,16,3.9,
14.12.2018 22:00,4,70 -80%.,16,12.2,Signs of precipitation
14.12.2018 16:00,2,100%.,16,7.8,
14.12.2018 10:00,3,100%.,16,-1.1,
14.12.2018 04:00,3,70 -80%.,16,-1.1,
13.12.2018 22:00,4,70 -80%.,16,0,
13.12.2018 16:00,4,20-0%.,16,11.7,
13.12.2018 10:00,4,Cloudless,16,1.7,
13.12.2018 04:00,0,20-0%.,14,8.3,
12.12.2018 22:00,2,Cloudless,12,12.2,
12.12.2018 16:00,3,20-0%.,16,11.7,
12.12.2018 10:00,5,70 -80%.,8,12.2,
12.12.2018 04:00,3,The sky is not visible due to fog and/or other meteorological phenomena.,4,10.6,
11.12.2018 22:00,2,Cloudless,16,11.1,
11.12.2018 16:00,5,Cloudless,12,12.2,
11.12.2018 10:00,3,50%.,16,7.2,
11.12.2018 04:00,2,50%.,14,10.6,
10.12.2018 22:00,0,70 -80%.,16,12.2,
10.12.2018 16:00,3,70 -80%.,16,11.7,
10.12.2018 10:00,2,70 -80%.,16,6.1,
10.12.2018 04:00,0,70 -80%.,16,7.2,
09.12.2018 22:00,0,70 -80%.,16,11.1,
09.12.2018 16:00,5,100%.,16,11.1,
09.12.2018 10:00,3,70 -80%.,16,7.2,
09.12.2018 04:00,2,70 -80%.,16,7.8,
08.12.2018 22:00,0,20-0%.,16,12.2,
08.12.2018 16:00,5,20-0%.,16,11.1,
08.12.2018 10:00,2,20-0%.,16,7.2,
08.12.2018 04:00,3,20-0%.,16,6.7,
07.12.2018 22:00,3,Cloudless,16,8.9,
07.12.2018 16:00,5,50%.,16,11.1,
07.12.2018 10:00,2,20-0%.,16,8.3,
07.12.2018 04:00,2,50%.,16,6.7,
06.12.2018 22:00,3,20-0%.,16,7.8,
06.12.2018 16:00,4,70 -80%.,16,10.6,4
06.12.2018 10:00,7,70 -80%.,11,9.4,30
06.12.2018 04:00,6,100%.,4.8,11.1,2
05.12.2018 22:00,5,100%.,16,10.6,0.8
05.12.2018 16:00,7,100%.,14,7.8,0.3
05.12.2018 10:00,6,100%.,16,6.1,0.5
05.12.2018 04:00,2,70 -80%.,16,3.9,Signs of precipitation
04.12.2018 22:00,4,50%.,16,-1.1,
04.12.2018 16:00,4,20-0%.,16,2.8,
04.12.2018 10:00,3,50%.,16,-3.3,Signs of precipitation
04.12.2018 04:00,4,70 -80%.,16,-1.7,
03.12.2018 22:00,2,20-0%.,16,8.3,
03.12.2018 16:00,5,20-0%.,16,6.1,
03.12.2018 10:00,3,20-0%.,16,1.7,
03.12.2018 04:00,2,70 -80%.,16,2.2,
02.12.2018 22:00,2,50%.,16,0,
02.12.2018 16:00,6,20-0%.,16,6.1,
02.12.2018 10:00,6,50%.,16,-1.1,
02.12.2018 04:00,4,Cloudless,16,0.6,
01.12.2018 22:00,2,70 -80%.,16,7.8,
01.12.2018 16:00,7,20-0%.,16,8.3,
01.12.2018 10:00,2,50%.,16,5.6,
01.12.2018 04:00,0,20-0%.,16,5,
30.11.2018 22:00,3,20-0%.,16,3.3,
30.11.2018 16:00,9,50%.,16,8.9,
30.11.2018 10:00,2,70 -80%.,16,10.6,
30.11.2018 04:00,2,50%.,16,10.6,0.3
29.11.2018 22:00,4,70 -80%.,16,11.7,20
29.11.2018 16:00,11,50%.,16,10.6,Signs of precipitation
29.11.2018 10:00,5,100%.,4,12.8,15
29.11.2018 04:00,5,100%.,12,14.4,4
28.11.2018 22:00,3,100%.,16,12.8,Signs of precipitation
28.11.2018 16:00,4,70 -80%.,16,11.7,
28.11.2018 10:00,2,70 -80%.,12,11.7,
28.11.2018 04:00,2,70 -80%.,11,11.7,
27.11.2018 22:00,2,70 -80%.,16,15,
27.11.2018 16:00,4,70 -80%.,16,13.3,
27.11.2018 10:00,2,50%.,16,-2.2,
27.11.2018 04:00,2,70 -80%.,16,-1.7,
26.11.2018 22:00,2,70 -80%.,16,8.3,
26.11.2018 16:00,5,20-0%.,16,7.8,
26.11.2018 10:00,2,20-0%.,16,1.7,
26.11.2018 04:00,2,Cloudless,16,3.3,
25.11.2018 22:00,3,20-0%.,16,13.9,
25.11.2018 16:00,7,20-0%.,16,15,
25.11.2018 10:00,2,50%.,16,12.2,
25.11.2018 04:00,2,100%.,16,12.8,
24.11.2018 22:00,2,Cloudless,16,13.9,
24.11.2018 16:00,3,20-0%.,16,13.3,
24.11.2018 10:00,3,20-0%.,14,12.8,
24.11.2018 04:00,2,20-0%.,16,10.6,
23.11.2018 22:00,3,20-0%.,16,12.2,
23.11.2018 16:00,6,50%.,16,13.9,
23.11.2018 10:00,2,20-0%.,16,11.7,
23.11.2018 04:00,2,20-0%.,16,11.1,
22.11.2018 22:00,2,50%.,16,12.8,
22.11.2018 16:00,9,50%.,16,13.3,
22.11.2018 10:00,3,70 -80%.,12,13.3,Signs of precipitation
22.11.2018 04:00,2,100%.,12,13.9,14
21.11.2018 22:00,3,100%.,12,13.9,
21.11.2018 16:00,3,70 -80%.,16,13.3,
21.11.2018 10:00,2,50%.,8,10,
21.11.2018 04:00,2,20-0%.,8,11.1,
20.11.2018 22:00,3,Cloudless,12,12.8,
20.11.2018 16:00,5,20-0%.,16,11.7,
20.11.2018 10:00,2,50%.,9,12.2,
20.11.2018 04:00,2,50%.,8,9.4,
19.11.2018 22:00,2,50%.,6,15,
19.11.2018 16:00,2,70 -80%.,8,13.3,
19.11.2018 10:00,0,70 -80%.,16,0,
19.11.2018 04:00,2,70 -80%.,4.8,10.6,
18.11.2018 22:00,4,Cloudless,9,15,
18.11.2018 16:00,5,70 -80%.,6,13.9,
18.11.2018 10:00,0,50%.,8,10,
18.11.2018 04:00,0,70 -80%.,6,13.3,
17.11.2018 22:00,0,70 -80%.,14,13.9,
17.11.2018 16:00,4,70 -80%.,16,13.9,
17.11.2018 10:00,3,70 -80%.,12,11.7,
17.11.2018 04:00,3,70 -80%.,6,13.3,
16.11.2018 22:00,2,50%.,16,15,
16.11.2018 16:00,5,70 -80%.,16,13.9,
16.11.2018 10:00,2,70 -80%.,16,12.8,
16.11.2018 04:00,2,50%.,16,3.9,
15.11.2018 22:00,3,70 -80%.,16,12.2,
15.11.2018 16:00,5,70 -80%.,16,7.2,
15.11.2018 10:00,2,50%.,16,-8.9,
15.11.2018 04:00,0,20-0%.,16,-2.8,
14.11.2018 22:00,3,Cloudless,16,10,
14.11.2018 16:00,5,20-0%.,16,-1.1,
14.11.2018 10:00,0,50%.,16,-8.3,
14.11.2018 04:00,2,70 -80%.,16,-7.2,
13.11.2018 22:00,3,50%.,16,2.2,
13.11.2018 16:00,4,50%.,16,-9.4,
13.11.2018 10:00,2,70 -80%.,16,-13,
